SiteName,Site,Seq,Date,Month,Vol_m3,Temperature_C,DO_Percent,Max_vel,RCTdepth_cm,Length_m
DG1-SEQ1-2021,DG1,SEQ1,2021-05-03,5,5.284766666666665,13,80.7,0,4,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-05-03,5,12.558933333333332,10.8,63.4,0.017,2.5,5.6
DG1-SEQ3-2021,DG1,SEQ3,2021-05-03,5,3.436125,12.9,83,0,3,6.3
LAG1-SEQ1-2021,LAG1,SEQ1,2021-05-06,5,203.2825,13.6,102.2,0.402,17,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-05-06,5,61.92000000000001,13.9,103.4,0.309,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-05-07,5,138.4059,14.1,102,0.162,21,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-05-02,5,50.06655,13.5,103.6,0.34,18,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-05-24,5,238.56750000000002,12.8,104.2,0.169,25,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-05-24,5,88.12594,12.6,104.9,0.202,24,22.7
OL-SEQ1-2021,OL,SEQ1,2021-05-05,5,18.393733333333333,16,87.2,0.063,6,13.4
OL-SEQ2-2021,OL,SEQ2,2021-05-05,5,34.03179,15.4,89.2,0.068,7,22.1
OL-SEQ3-2021,OL,SEQ3,2021-05-05,5,39.409200000000006,13.8,84.2,0.138,12,17.8
SG-SEQ1-2021,SG,SEQ1,2021-05-08,5,6.1275,12,81.3,0.065,5.5,9.5
SG-SEQ2-2021,SG,SEQ2,2021-05-08,5,56.0573,12,77,0.031,8,40.3
SG-SEQ3-2021,SG,SEQ3,2021-05-08,5,91.5858,11.8,79.2,0.14,7,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-06-01,6,9.372,13.4,42,0,5,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-06-01,6,9.960533333333334,13.2,45.6,0,2,5.6
DG1-SEQ3-2021,DG1,SEQ3,2021-06-01,6,2.4255,13.7,69.4,0,2,6.3
LAG1-SEQ1-2021,LAG1,SEQ1,2021-06-03,6,151.958625,15.2,98,0.258,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-06-03,6,54.94499999999999,15.2,100.2,0.353,14,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-06-03,6,141.4584,15.6,101.4,0.141,19,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-06-01,6,43.0125,15.2,102,0.302,9,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-06-01,6,239.03324999999998,14.9,101.2,0.17,23,34.5
