Site Name,Date (DD/MM/YY),Length_m,Width0_m,Width1_m,Width2_m,Width3_m,Width4_m,Width5_m,RCTdepth_cm,RCT_marked (Y),Temperature_C,DO_Percent,Depth0_cm,Depth1_cm,Depth2_cm,Depth3_cm,Depth4_cm,Depth5_cm,Vel0_ms,Vel1_ms,Vel2_ms,Vel3_ms,Vel4_ms,Vel5_ms,Notes on measuring depth & vel
DG1-SEQ1-2021,3/05/21,7.1,,1.7,2.5,3.5,,,4,Y,13,80.7,,25,29,42,,,,0,0,0,,,0.066 velocity right at surface with riffle/pool trans. (measured May 17)
DG1-SEQ2-2021,3/05/21,5.6,,4.4,4.4,2.8,,,2.5,Y,10.8,63.4,,46,80,58,,,,0.017,0,0,,,
DG1-SEQ3-2021,3/05/21,6.3,,3.5,3.2,1.8,,,3,Y,12.9,83,,21.5,25.5,17,17,,,0,0,0,0,,
LAG1-SEQ1-2021,6/05/21,30.5,,4,7.1,9.6,10.3,,17,Y,13.6,102.2,,41,84,90,86,86,,0.402,0.236,0.148,0.118,0.145,"1 at very head, hard to see exactly where riffle pours into pool; 2 in narrow part before log; 3 immediately d/s of log (effective ""head"" of pool); 4 at mid of pool near willow branches; 5 near end of pool by willows, still saw coho drift foraging"
LAG1-SEQ2-2021,6/05/21,18,,7.2,6.7,7.6,,,13,Y,13.9,103.4,,48,52,38,,,,0.309,0.185,0.283,,,1 where it transitions to pool; 2 right behind logs in thalweg; 3 in middle of pool before it gets shallower
LAG1-SEQ3-2021,7/05/21,37,,6,7.2,7.4,7.8,5.3,21,Y,14.1,102,,50,54,57,70,,,0.162,0.149,0.082,0.083,,
LAG2-SEQ1-2021,24/04/21 & 02/05/21,11.1,,6.6,5.7,8.3,8.5,,18,Y,13.5,103.6,,60,64,66,54,,,0.34,0.285,0.175,0.132,,"equipment not working, need to come back to redo cameras, inverts, velocity"
LAG2-SEQ2-2021,24/04/21,34.5,,8.6,8.1,10.4,10.4,8.6,25,Y,12.8,104.2,,93,92,58,58,,,0.146,0.141,0.169,0.128,,2 velocity measures taken: one on april 24 and one on May 2nd; only measured depth in april
LAG2-SEQ3-2021,24/04/21,22.7,,7.1,6.2,6.4,6.2,7,24,Y,12.6,104.9,,59,60,55,42,59,,0.046,0.037,0.068,0.202,0.097,fish foraging near tree at site 5
OL-SEQ1-2021,5/05/21,13.4,,5.9,4.9,3.4,,,6,Y,16,87.2,,36,28,29,,,,0.063,0,0.053,,,
