Site_Seq,Site,Seq,Date,month,Order,Family,Lowest_ID,mass_mg
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Trichoptera,Hydropsychidae,Hydropsychidae,3.879339885715668
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Coleoptera,Hydrophilidae,Hydrophilidae,0.24933266549135996
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Diptera,Ceratopogonidae,Ceratopogonidae,0.0723722321374426
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Hemiptera,Mesoveliidae,Mesoveliidae,0.0108
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Ephemeroptera,Potamanthidae,Potamanthidae,0.022384571969687787
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Diptera,Chironomidae,Chironomidae,0.002900613246745249
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Diptera,Chironomidae,Chironomidae,0.002900613246745249
SG-SEQ3,SG,SEQ3,2021-07-24,Jul,Hemiptera,NA,Hemiptera,0.005
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.2930178489207389
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.2930178489207389
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
